epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3923,0.98203,1.11581,1.43294,0.60438,0.51847,0.59029,0.38431,1.27811,1.33883,1.67683,0.000475337,0.000475337,0.000475337
2,142.901,0.92246,1.00831,1.39087,0.637,0.55905,0.59023,0.39294,1.21128,1.47579,1.56469,0.00088886,0.00088886,0.00088886
3,211.721,0.94076,1.03977,1.4047,0.66165,0.56531,0.64149,0.46421,1.10015,1.22612,1.45788,0.00123951,0.00123951,0.00123951
4,278.515,0.92522,1.02253,1.39709,0.61158,0.57292,0.60417,0.44294,1.08932,1.38471,1.45965,0.00114606,0.00114606,0.00114606
5,345.125,0.90446,0.98052,1.37268,0.73848,0.57987,0.66055,0.4873,1.04974,1.19533,1.44279,0.00105174,0.00105174,0.00105174
6,445.957,0.91513,0.89825,1.45324,0.67875,0.61972,0.67515,0.47908,1.11477,1.25398,1.47306,0.00095743,0.00095743,0.00095743
7,511.806,0.88519,0.82731,1.424,0.72237,0.58803,0.65904,0.46903,1.11251,1.18467,1.46814,0.000863116,0.000863116,0.000863116
8,575.838,0.85948,0.78226,1.39297,0.78484,0.58725,0.69339,0.52444,0.99876,1.13158,1.35415,0.000768802,0.000768802,0.000768802
9,640.864,0.83787,0.73415,1.37179,0.75484,0.60798,0.67675,0.51285,1.01409,1.07789,1.38383,0.000674488,0.000674488,0.000674488
10,709.357,0.80912,0.68328,1.34117,0.72816,0.64375,0.71805,0.52017,1.05904,1.03795,1.42104,0.000580174,0.000580174,0.000580174
11,777.25,0.77965,0.64413,1.31435,0.78731,0.60627,0.71064,0.54196,0.99365,1.04256,1.37101,0.00048586,0.00048586,0.00048586
12,842.784,0.76034,0.61188,1.29691,0.81845,0.60985,0.71339,0.53996,0.9879,1.05162,1.34453,0.000391546,0.000391546,0.000391546
13,909.794,0.73156,0.57343,1.27484,0.74668,0.67035,0.7222,0.5512,0.96147,1.01679,1.35203,0.000297232,0.000297232,0.000297232
14,976.27,0.71007,0.54726,1.25354,0.80332,0.62103,0.72527,0.5638,0.93394,0.99878,1.33721,0.000202918,0.000202918,0.000202918
15,1040.75,0.68786,0.51797,1.23654,0.76276,0.66006,0.72994,0.5653,0.92598,0.99636,1.31415,0.000108604,0.000108604,0.000108604
