epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.5721,1.24586,2.71956,1.75293,0.42169,0.48299,0.35015,0.18161,1.61905,3.02567,2.10458,0.000474021,0.000474021,0.000474021
2,149.704,1.27832,2.11901,1.80867,0.60973,0.43793,0.44983,0.22857,1.75926,2.21195,2.20415,0.000856269,0.000856269,0.000856269
3,219.246,1.27342,1.85624,1.79063,0.38624,0.31374,0.27209,0.16185,1.54449,2.53127,2.03414,0.0011442,0.0011442,0.0011442
4,288.639,1.2169,1.64392,1.74847,0.55849,0.50464,0.5001,0.33802,1.38124,1.74676,1.78444,0.00100459,0.00100459,0.00100459
5,357.857,1.15786,1.51563,1.67751,0.68721,0.41332,0.50514,0.33536,1.36906,1.76585,1.76272,0.000863116,0.000863116,0.000863116
6,429.746,1.08771,1.3842,1.62029,0.71334,0.53023,0.58627,0.42432,1.17902,1.45481,1.57671,0.000721645,0.000721645,0.000721645
7,498.623,1.03868,1.28757,1.57859,0.73907,0.56112,0.62241,0.4468,1.17099,1.40745,1.57712,0.000580174,0.000580174,0.000580174
8,566.398,0.9886,1.19831,1.53173,0.75468,0.55695,0.63925,0.4804,1.08811,1.29272,1.50086,0.000438703,0.000438703,0.000438703
9,634.411,0.93645,1.11524,1.47698,0.76046,0.60705,0.68634,0.50474,1.07638,1.19064,1.464,0.000297232,0.000297232,0.000297232
10,706.67,0.90869,1.06837,1.45478,0.78758,0.59545,0.68379,0.52382,1.02121,1.18034,1.4122,0.000155761,0.000155761,0.000155761
