epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.3484,0.85746,0.88259,1.32741,0.78172,0.58633,0.68671,0.50608,1.08583,1.11593,1.47027,0.000475337,0.000475337,0.000475337
2,146.01,0.83283,0.83039,1.30875,0.65435,0.57526,0.63284,0.47533,1.02977,1.29504,1.40904,0.000904562,0.000904562,0.000904562
3,211.949,0.85892,0.87141,1.32728,0.7068,0.57006,0.65281,0.47309,1.05769,1.17588,1.42539,0.00128663,0.00128663,0.00128663
4,276.61,0.85566,0.87655,1.33078,0.70485,0.62071,0.69697,0.50259,1.04657,1.09745,1.40911,0.00121679,0.00121679,0.00121679
5,343.932,0.84388,0.84999,1.31394,0.81633,0.57206,0.68499,0.51063,1.03751,1.12798,1.39694,0.00114606,0.00114606,0.00114606
6,412.259,0.85652,0.86381,1.32797,0.66486,0.6195,0.66821,0.48049,1.09298,1.17708,1.4579,0.00107532,0.00107532,0.00107532
7,479.411,0.8351,0.83389,1.31025,0.75095,0.59411,0.70172,0.51923,1.00686,1.10928,1.39682,0.00100459,0.00100459,0.00100459
8,545.285,0.82912,0.82668,1.30433,0.71846,0.58397,0.68452,0.49845,1.0438,1.11204,1.39672,0.000933851,0.000933851,0.000933851
9,612.936,0.81212,0.80094,1.29447,0.74927,0.58753,0.68457,0.51057,1.00959,1.11085,1.39337,0.000863116,0.000863116,0.000863116
10,678.031,0.80153,0.77315,1.28008,0.82364,0.59963,0.70724,0.53967,0.98458,1.08375,1.34687,0.00079238,0.00079238,0.00079238
11,776.639,0.78711,0.63782,1.31703,0.7438,0.6288,0.70599,0.53669,0.98271,1.0797,1.34925,0.000721645,0.000721645,0.000721645
12,844.39,0.76129,0.5962,1.28793,0.82058,0.59567,0.70859,0.53583,0.98477,1.07119,1.34675,0.000650909,0.000650909,0.000650909
13,911.72,0.73184,0.55884,1.2656,0.78035,0.6153,0.69871,0.53762,1.00346,1.13377,1.38595,0.000580174,0.000580174,0.000580174
14,978.049,0.71209,0.52527,1.24447,0.76814,0.65258,0.72445,0.54393,1.00296,1.10041,1.39948,0.000509438,0.000509438,0.000509438
15,1044.92,0.69813,0.51178,1.22983,0.76496,0.65815,0.73026,0.54994,0.98028,1.05379,1.36592,0.000438703,0.000438703,0.000438703
16,1111.85,0.68063,0.4828,1.21646,0.7475,0.67984,0.73353,0.56096,0.94314,0.98812,1.34055,0.000367967,0.000367967,0.000367967
17,1176.38,0.65904,0.45842,1.19861,0.77052,0.61717,0.70779,0.55396,0.93613,1.06943,1.32159,0.000297232,0.000297232,0.000297232
18,1240.41,0.64175,0.44611,1.17943,0.78488,0.63223,0.72314,0.56192,0.92315,0.99528,1.31427,0.000226497,0.000226497,0.000226497
19,1306.28,0.62554,0.42646,1.1708,0.80414,0.62069,0.71849,0.56304,0.9346,1.02187,1.3347,0.000155761,0.000155761,0.000155761
20,1373.2,0.61556,0.41588,1.16155,0.80267,0.63092,0.7256,0.57062,0.92462,1.03234,1.32299,8.50255e-05,8.50255e-05,8.50255e-05
