epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.0496,1.16306,2.27136,1.57016,0.53298,0.40368,0.42266,0.26103,1.35393,2.19912,1.83135,0.000474021,0.000474021,0.000474021
2,65.0029,1.17265,1.80046,1.58083,0.40088,0.32885,0.32799,0.17409,1.6126,2.60268,2.07059,0.000903312,0.000903312,0.000903312
3,92.9937,1.16778,1.67915,1.58307,0.43282,0.43613,0.39644,0.26253,1.42901,2.16465,1.92796,0.00128545,0.00128545,0.00128545
4,121.725,1.14179,1.5786,1.56477,0.60162,0.46137,0.48059,0.29517,1.47366,1.82789,1.92884,0.00121679,0.00121679,0.00121679
5,149.951,1.09355,1.48731,1.52918,0.66585,0.4363,0.5035,0.30453,1.4631,1.80532,1.91215,0.00114606,0.00114606,0.00114606
6,178.228,1.05899,1.4173,1.50016,0.64313,0.5584,0.59741,0.42457,1.19427,1.36682,1.62066,0.00107532,0.00107532,0.00107532
7,206.306,1.01867,1.32682,1.47052,0.44939,0.46784,0.47177,0.28051,1.41925,2.05822,1.82534,0.00100459,0.00100459,0.00100459
8,235.029,0.98972,1.2873,1.45229,0.67168,0.55582,0.61197,0.43452,1.17136,1.37617,1.55469,0.000933851,0.000933851,0.000933851
9,263.146,0.97999,1.22811,1.43448,0.70473,0.52825,0.61024,0.45564,1.06764,1.37497,1.47521,0.000863116,0.000863116,0.000863116
10,291.569,0.94307,1.18803,1.41457,0.65397,0.50966,0.58885,0.40258,1.09999,1.44992,1.50783,0.00079238,0.00079238,0.00079238
11,349.31,1.0171,1.21404,1.54931,0.737,0.53033,0.61763,0.44493,1.1397,1.39169,1.50955,0.000721645,0.000721645,0.000721645
12,377.79,0.97316,1.10577,1.52122,0.73584,0.57229,0.67966,0.4996,1.0563,1.16133,1.43518,0.000650909,0.000650909,0.000650909
13,405.88,0.95702,1.07985,1.49725,0.69201,0.61041,0.685,0.51146,1.01637,1.17442,1.40245,0.000580174,0.000580174,0.000580174
14,436.018,0.92245,1.00399,1.45528,0.75139,0.59056,0.69536,0.52074,1.036,1.12135,1.41073,0.000509438,0.000509438,0.000509438
15,469.898,0.90467,0.97894,1.43508,0.70517,0.65041,0.70952,0.54326,0.97761,1.10554,1.34971,0.000438703,0.000438703,0.000438703
16,503.833,0.87708,0.92377,1.41697,0.76287,0.60537,0.70339,0.53942,0.98016,1.0968,1.37339,0.000367967,0.000367967,0.000367967
17,537.418,0.84567,0.89731,1.39121,0.7145,0.61405,0.70464,0.53242,0.9684,1.08885,1.3323,0.000297232,0.000297232,0.000297232
18,568.939,0.82673,0.8496,1.36644,0.71197,0.65225,0.73003,0.55909,0.92094,1.04792,1.29173,0.000226497,0.000226497,0.000226497
19,599.712,0.80123,0.79549,1.34371,0.74778,0.65071,0.73117,0.55677,0.92895,1.02918,1.30191,0.000155761,0.000155761,0.000155761
20,629.958,0.79603,0.77784,1.33413,0.78384,0.64179,0.73924,0.57133,0.91054,1.02109,1.2855,8.50255e-05,8.50255e-05,8.50255e-05
